Iteracao;ValorObjetivo;Peso
1;40;0
2;99;0
3;112;8
4;161;32
5;169;47
6;176;66
7;225;51
8;236;30
9;234;101
10;239;97
11;262;115
12;270;99
13;278;50
14;277;89
15;305;167
16;305;160
17;294;168
18;305;138
19;307;216
20;315;160
21;341;219
22;324;177
23;364;194
24;370;279
25;345;189
26;386;185
27;386;200
28;388;250
29;403;307
30;387;185
31;409;287
32;383;203
33;378;272
34;383;340
35;387;223
36;387;322
37;387;212
38;408;375
39;400;263
40;400;293
41;414;277
42;414;390
43;402;319
44;397;230
45;398;271
46;429;256
47;410;232
48;415;276
49;426;258
50;422;352
51;422;389
52;427;412
53;427;326
54;417;336
55;460;386
56;460;245
57;472;295
58;442;399
59;482;472
60;482;401
61;452;289
62;496;391
63;479;422
64;480;447
65;484;469
66;467;322
67;474;433
68;451;391
69;448;418
70;463;347
71;462;492
72;461;378
73;491;374
74;499;427
75;479;467
76;479;460
77;484;431
78;484;426
79;506;502
80;511;432
81;500;451
82;495;400
83;517;457
84;508;436
85;521;480
86;528;490
87;518;309
88;513;484
89;502;533
90;518;459
91;506;477
92;542;523
93;530;420
94;561;436
95;535;486
96;529;440
97;560;449
98;527;373
99;515;586
100;541;329
101;541;539
102;541;426
103;556;463
104;551;483
105;547;529
106;561;495
107;561;473
108;543;486
109;550;493
110;553;501
111;550;507
112;550;499
113;561;590
114;567;587
115;561;568
116;561;531
117;571;545
118;567;551
119;580;521
120;575;556
121;573;445
122;573;526
123;592;569
124;582;534
125;566;548
126;594;568
127;575;498
128;575;568
129;594;498
130;594;450
131;578;591
132;588;450
133;588;495
134;592;501
135;610;500
136;585;514
137;597;506
138;579;600
139;594;594
140;594;596
141;612;578
142;586;500
143;586;604
144;593;521
145;581;518
146;596;573
147;586;490
148;598;510
149;602;531
150;607;502
151;607;526
152;596;502
153;593;525
154;593;579
155;593;497
156;595;527
157;602;552
158;598;525
159;594;529
160;606;570
161;604;529
162;604;559
163;596;658
164;604;611
165;593;526
166;604;533
167;593;566
168;597;532
169;609;554
170;609;530
171;607;593
172;602;607
173;613;648
174;613;601
175;607;553
176;607;508
177;607;568
178;607;603
179;621;522
180;609;562
181;616;560
182;616;555
183;627;520
184;629;579
185;639;576
186;626;525
187;626;566
188;619;642
189;616;577
190;626;590
191;617;545
192;626;540
193;626;575
194;617;564
195;622;581
196;622;559
197;621;584
198;626;523
199;616;677
200;617;572
201;622;587
202;619;577
203;621;557
204;618;588
205;616;604
206;617;577
207;621;608
208;621;627
209;629;592
210;628;580
211;628;622
212;635;639
213;635;613
214;635;582
215;635;591
216;628;585
217;629;597
218;623;605
219;623;623
220;639;613
221;639;594
222;639;606
223;639;575
224;629;614
225;629;610
226;627;608
227;629;641
228;625;654
229;616;608
230;629;593
231;629;539
232;629;597
233;625;574
234;624;709
235;539;553
236;550;591
237;539;591
238;544;591
239;541;591
240;543;600
241;542;591
242;544;592
243;542;632
244;542;591
245;576;608
246;542;591
247;542;597
248;542;596
249;542;591
250;560;598
251;552;620
252;552;613
253;552;618
254;552;591
255;568;591
256;568;643
257;568;591
258;568;609
259;576;591
260;576;619
261;576;624
262;576;638
263;568;591
264;568;591
265;568;612
266;570;627
267;570;618
268;570;617
269;575;620
270;575;618
271;575;636
272;575;646
273;575;620
274;562;606
275;568;592
276;568;627
277;570;615
278;560;600
279;562;568
280;562;622
281;562;570
282;562;653
283;562;611
284;561;579
285;560;656
286;569;543
287;568;618
288;568;606
289;568;614
290;569;591
291;569;572
292;569;571
293;570;559
294;568;574
295;610;589
296;610;622
297;577;591
298;594;595
299;568;591
300;568;610
301;562;603
302;570;618

----------------------------------------

Lucro total: 1028
Penalidade total: 389
Valor objetivo: 639
Peso na Mochila:576/775
Tempo (ms): 3549.07
Itens selecionados (por índice):
29 33 41 56 62 79 114 132 150 190 194 221 231 239 267 308 312 318 339 373 396 423 424 446 485 
