Iteracao;ValorObjetivo;Peso
1;40;30
2;110;80
3;177;129
4;194;150
5;208;172
6;208;172
7;222;188
8;242;195
9;249;191
10;268;198
11;296;272
12;267;242
13;275;272
14;278;293
15;272;251
16;297;267
17;303;258
18;307;255
19;307;255
20;346;302
21;346;302
22;339;320
23;341;334
24;336;356
25;350;300
26;350;300
27;350;355
28;358;396
29;358;396
30;360;348
31;394;431
32;394;431
33;395;367
34;417;402
35;382;354
36;405;377
37;438;379
38;451;377
39;425;381
40;380;417
41;382;313
42;390;316
43;398;421
44;410;393
45;398;337
46;395;316
47;394;346
48;404;461
49;419;422
50;419;422
51;434;437
52;407;347
53;407;347
54;433;397
55;439;415
56;411;433
57;422;431
58;426;371
59;443;459
60;443;459
61;444;441
62;453;497
63;432;497
64;475;417
65;444;414
66;484;405
67;466;400
68;459;460
69;439;408
70;465;505
71;471;415
72;462;395
73;483;442
74;512;436
75;474;464
76;467;475
77;496;457
78;491;376
79;521;444
80;507;423
81;508;424
82;488;451
83;485;456
84;494;463
85;486;430
86;512;468
87;512;468
88;508;442
89;572;527
90;532;468
91;528;533
92;548;503
93;570;492
94;570;492
95;570;492
96;570;492
97;571;499
98;570;535
99;591;517
100;584;542
101;564;477
102;587;542
103;592;573
104;593;539
105;599;490
106;604;556
107;579;551
108;591;537
109;594;547
110;577;576
111;612;580
112;594;520
113;598;523
114;587;551
115;587;515
116;625;517
117;627;568
118;635;572
119;604;530
120;615;515
121;618;538
122;638;574
123;616;539
124;627;578
125;612;534
126;631;536
127;622;560
128;616;556
129;616;556
130;636;492
131;649;506
132;649;506
133;688;641
134;688;641
135;661;560
136;618;649
137;662;622
138;632;547
139;688;617
140;676;627
141;655;535
142;658;601
143;667;600
144;667;600
145;649;554
146;663;574
147;667;640
148;703;598
149;681;611
150;681;611
151;696;630
152;665;535
153;652;520
154;689;584
155;654;573
156;658;575
157;667;582
158;671;576
159;665;560
160;655;535
161;686;580
162;688;594
163;696;575
164;699;597
165;671;560
166;676;580
167;679;591
168;693;605
169;693;605
170;702;588
171;702;582
172;694;593
173;697;608
174;688;632
175;701;589
176;701;589
177;697;653
178;687;574
179;687;574
180;716;624
181;678;549
182;711;651
183;689;624
184;699;612
185;689;624
186;681;562
187;679;557
188;701;626
189;699;612
190;694;564
191;687;551
192;706;580
193;683;666
194;691;642
195;681;602
196;689;645
197;691;600
198;694;609
199;686;606
200;705;635
201;697;621
202;693;604
203;679;608
204;705;605
205;686;579
206;680;585
207;701;609
208;707;614
209;707;614
210;714;588
211;713;568
212;714;626
213;695;626
214;718;616
215;700;592
216;701;594
217;706;597
218;700;568
219;709;605
220;700;605
221;722;611
222;715;629
223;715;629
224;711;580
225;733;658
226;702;609
227;717;606
228;713;645
229;715;627
230;688;589
231;693;605
232;715;659
233;704;615
234;719;632
235;709;658
236;734;642
237;720;627
238;720;627
239;734;642
240;734;642
241;715;629
242;715;629
243;727;643
244;727;643
245;716;589
246;716;628
247;723;628
248;707;574
249;717;620
250;709;655
251;703;606
252;703;606
253;703;606
254;703;606
255;726;596
256;731;649
257;731;649
258;712;653
259;683;615
260;709;605
261;732;634
262;732;634
263;685;568
264;727;664
265;727;664
266;727;664
267;726;629
268;694;627
269;717;594
270;703;577
271;692;569
272;703;577
273;715;687
274;715;687
275;709;605
276;712;638
277;707;633
278;723;681
279;716;672
280;716;672
281;716;650
282;730;627
283;730;627
284;730;627
